# Couche française pour verbs.txt. L'allemand n'est jamais traduit : les
# formes, la rection et l'exemple restent tels quels — c'est ce qu'on apprend.
#
# =radical|sens
# verbe|sens|à l'usage|traduction de l'exemple

=nehmen|prendre
nehmen|prendre, saisir ; recevoir|« nimm's leicht » = ne t'en fais pas ; aussi « sich Zeit nehmen » = prendre son temps|Il prend le bus pour aller au travail.
annehmen|accepter ; supposer|le mot courant pour « je suppose » : « ich nehm mal an, … »|Je suppose que tu arriveras plus tard.
abnehmen|enlever ; maigrir ; décrocher (le téléphone)|« nimmst du mir das ab? » = tu me crois ? Aussi « jemandem Arbeit abnehmen » = décharger quelqu'un d'une tâche|Elle a perdu dix kilos.
aufnehmen|ramasser ; enregistrer (son, vidéo) ; accueillir (dans un groupe)|le mot pour enregistrer et pour accepter quelqu'un dans une équipe|Nous enregistrons l'album en studio.
mitnehmen|emmener, prendre avec soi ; déposer quelqu'un|« das nimmt mich mit » = ça m'épuise, ça m'affecte|Tu peux me déposer ?
teilnehmen|participer (an +D)|registre soutenu ; à l'oral on dit plutôt « mitmachen »|Elle participe au concours.
übernehmen|prendre en charge (rôle, frais, responsabilité) ; reprendre|« sich übernehmen » = trop en faire, s'épuiser|Il reprend l'entreprise de son père.
unternehmen|entreprendre, faire quelque chose|« was unternehmen » = sortir faire quelque chose|On sort faire quelque chose ce soir !
benehmen|se comporter (toujours avec sich)|ce qu'on dit aux enfants : « benimm dich! » = tiens-toi bien !|Tiens-toi bien, on n'est pas seuls.
zunehmen|augmenter ; grossir, prendre du poids|le pendant poli d'abnehmen ; aussi « der Wind nimmt zu » = le vent forcit|Les critiques se multiplient.
vornehmen|effectuer, procéder à (registre officiel) ; se proposer de|« sich etwas vornehmen » = se fixer un objectif|Je me suis promis de me lever plus tôt.
wahrnehmen|percevoir, remarquer ; exercer (un droit), honorer (un rendez-vous)|mot de bureaucrate : « einen Termin wahrnehmen » = honorer un rendez-vous|Il remarque à peine les bruits.
festnehmen|arrêter, appréhender|seulement dans le langage policier et journalistique|La police a arrêté le coupable.
einnehmen|prendre (un médicament) ; occuper (une position) ; rapporter (de l'argent)|« jemanden für sich einnehmen » = se concilier quelqu'un|Prenez les comprimés trois fois par jour.
ausnehmen|vider (un poisson) ; faire une exception|« jemanden ausnehmen » = plumer quelqu'un|Personne n'échappe à cette règle.

=kommen|venir
kommen|venir, arriver|« wie kommst du darauf? » = qu'est-ce qui te fait dire ça ?|Elle arrive demain.
ankommen|arriver ; dépendre (auf +A)|« es kommt darauf an » = ça dépend — le haussement d'épaules allemand|Le train arrive à huit heures.
bekommen|recevoir, obtenir|PAS « devenir » — le faux ami classique. Aussi « das bekommt mir nicht » = ça ne me réussit pas|J'ai reçu une lettre.
mitkommen|venir avec, accompagner ; suivre (en cours)|« kommst du mit? » = tu viens avec nous ? — invitation banale|Tu viens au cinéma avec moi ?
vorkommen|arriver, se produire ; sembler (à quelqu'un)|« das kommt mir bekannt vor » = ça me dit quelque chose|Ça arrive rarement.
umkommen|périr (dans un accident)|hyperbole : « ich komme um vor Hitze » = je meurs de chaleur|Trois personnes sont mortes dans l'accident.
entkommen|s'échapper, s'enfuir|registre neutre, aussi bien pour les prisonniers que les animaux|Le voleur a échappé à la police.
auskommen|s'en sortir (mit +D) ; s'entendre (avec quelqu'un)|« mit wenig auskommen » = vivre avec peu — le mot de la sobriété|Cet argent me suffit largement.
durchkommen|se frayer un chemin, passer ; s'en sortir (après une maladie)|aussi « am Telefon nicht durchkommen » = ne pas arriver à joindre quelqu'un|Il a réussi son examen.
nachkommen|suivre plus tard ; s'acquitter (d'une obligation)|« ich komme gleich nach » = allez-y, je vous rejoins|Je vous rejoins dans une heure.
wegkommen|partir, s'en aller ; disparaître|« gut wegkommen » = s'en tirer bien face à quelqu'un d'autre|Mes clés ont disparu.
zurechtkommen|s'en sortir, se débrouiller (mit +D)|façon courante de demander si quelqu'un se débrouille|Tu t'en sors avec ça ?
zukommen|s'approcher ; revenir de droit (à quelqu'un)|« auf jemanden zukommen » = aborder quelqu'un|Je reviendrai vers toi.

=gehen|aller
gehen|aller, marcher ; fonctionner|« es geht » = ça va, comme ci comme ça — réponse toute faite à « comment ça va ? »|Comment ça va ?
ausgehen|sortir (en ville) ; se terminer, s'épuiser ; partir (d'un principe)|« ich gehe davon aus, dass… » = je pars du principe que… — langage de bureau|On n'a presque plus d'argent.
angehen|concerner quelqu'un ; s'attaquer (à un problème)|« das geht dich nichts an » = ça ne te regarde pas|Il faut qu'on s'attaque à ce problème.
aufgehen|se lever (soleil) ; s'ouvrir ; tomber juste (calcul)|« mir geht ein Licht auf » = ça m'éclaire, je comprends|Les comptes ne tombent pas juste.
eingehen|conclure (un contrat) ; entrer dans le détail (auf +A) ; mourir (plante)|« darauf gehe ich nicht ein » = je ne vais pas en discuter|Il ne répond pas à ma question.
übergehen|ignorer, passer sous silence quelqu'un|se dit quand on saute quelqu'un pour une promotion|Il a été passé sous silence pour la promotion.
umgehen|contourner (une règle)|umgéhen, accent sur le radical : le mot du monde des impôts et des failles juridiques|Il contourne les règles.
umgehen|traiter, se comporter (mit +D)|úmgehen, accent sur la particule : « mit Menschen umgehen können » = savoir s'y prendre avec les gens|Elle sait s'y prendre avec les enfants.
vergehen|passer (le temps) ; s'estomper|« mir ist der Appetit vergangen » = j'ai perdu l'appétit|Le temps passe vite.
begehen|commettre (un crime, une erreur) ; célébrer (une date)|presque uniquement dans « einen Fehler begehen » = commettre une erreur, et les faits divers|Il a commis une erreur.
entgehen|échapper, passer inaperçu ; manquer|« sich etwas entgehen lassen » = laisser passer une occasion|Ça m'a échappé.
zugehen|s'approcher (auf +A) ; se fermer ; se passer|« es geht dort laut zu » = ça fait du bruit là-bas|La fête était animée.
