# Русский слой к verbs.txt. Немецкое не переводится: формы, управление и
# пример остаются как есть — их и учат.
#
# =корень|значение
# глагол|значение|как говорят|перевод примера

=nehmen|брать
nehmen|брать, взять; получать|«nimm's leicht» — не бери в голову; ещё «sich Zeit nehmen» — не торопиться|Он ездит на работу на автобусе.
annehmen|принимать; предполагать|обычное слово для «я полагаю»: «ich nehm mal an, …»|Полагаю, ты придёшь позже.
abnehmen|снимать; худеть; брать трубку|«nimmst du mir das ab?» = ты мне веришь? Ещё «jemandem Arbeit abnehmen» — взять на себя чужую работу|Она похудела на десять килограммов.
aufnehmen|поднимать; записывать (звук, видео); принимать (в группу)|слово для записи звука и видео, и для приёма нового человека в коллектив|Мы пишем альбом в студии.
mitnehmen|брать с собой; подвозить|«das nimmt mich mit» = это меня выматывает, задевает|Подвезёшь меня?
teilnehmen|участвовать (an +D)|официальное; в разговоре скорее скажут «mitmachen»|Она участвует в конкурсе.
übernehmen|принимать на себя (роль, расходы, ответственность); перенимать|«sich übernehmen» = взвалить на себя больше, чем можешь|Он принимает дела отцовской фирмы.
unternehmen|предпринимать; заняться чем-нибудь|«was unternehmen» = куда-нибудь выбраться, развеяться|Давай сегодня куда-нибудь выберемся!
benehmen|вести себя (только с sich)|то, что говорят детям: «benimm dich!» = веди себя прилично!|Веди себя прилично, мы не одни.
zunehmen|расти, усиливаться; набирать вес|вежливая пара к abnehmen; ещё «der Wind nimmt zu» — ветер крепчает|Критики становится больше.
vornehmen|производить, осуществлять (офиц.); намереваться|«sich etwas vornehmen» = задумать, положить себе за правило|Я решил вставать пораньше.
wahrnehmen|воспринимать, замечать; пользоваться (правом), приходить (на встречу)|любимое слово канцелярита: «einen Termin wahrnehmen» = явиться на приём|Он почти не замечает шума.
festnehmen|задерживать, брать под стражу|только язык полиции и новостей|Полиция задержала преступника.
einnehmen|принимать (лекарство); занимать (позицию); выручать (деньги)|«jemanden für sich einnehmen» = расположить к себе|Принимайте таблетки три раза в день.
ausnehmen|потрошить (рыбу); делать исключение|«jemanden ausnehmen» = обобрать до нитки|Из этого правила нет исключений.

=kommen|приходить
kommen|приходить, приезжать|«wie kommst du darauf?» = с чего ты это взял?|Она приезжает завтра.
ankommen|прибывать; зависеть (auf +A)|«es kommt darauf an» = смотря по обстоятельствам — немецкое пожатие плечами|Поезд прибывает в восемь.
bekommen|получать|НЕ «становиться» — классический ложный друг. Ещё «das bekommt mir nicht» = мне это не идёт на пользу|Я получил письмо.
mitkommen|идти вместе; успевать (на занятиях)|«kommst du mit?» = пойдёшь с нами? — обычное приглашение|Пойдёшь со мной в кино?
vorkommen|случаться, происходить; казаться (кому-л.)|«das kommt mir bekannt vor» = что-то знакомое|Такое случается редко.
umkommen|погибать (в катастрофе)|преувеличение: «ich komme um vor Hitze» = умираю от жары|В аварии погибли три человека.
entkommen|сбегать, ускользать|нейтральное, говорят и про заключённых, и про животных|Вор скрылся от полиции.
auskommen|обходиться (mit +D); ладить (с кем-л.)|«mit wenig auskommen» — слово про скромные траты|Мне вполне хватает этих денег.
durchkommen|пробиваться, проходить; выкарабкаться (после болезни)|ещё «am Telefon nicht durchkommen» — не дозвониться|Он сдал экзамен.
nachkommen|подойти позже; выполнять (обязанность)|«ich komme gleich nach» — идите, я догоню|Я подойду через час.
wegkommen|уходить, убираться; пропадать|«gut wegkommen» = хорошо выглядеть на чьём-то фоне|У меня пропали ключи.
zurechtkommen|справляться (mit +D)|обычный способ спросить, справляется ли человек|Ты с этим справляешься?
zukommen|приближаться; полагаться (кому-л.)|«auf jemanden zukommen» = обратиться к кому-то с вопросом|Я к тебе ещё обращусь.

=gehen|идти
gehen|идти, ходить; работать, функционировать|«es geht» = так себе, нормально — дежурный ответ на «как дела?»|Как дела?
ausgehen|выходить (в город); заканчиваться; исходить из чего-л.|«ich gehe davon aus, dass…» = я исхожу из того, что… — офисный язык|У нас заканчиваются деньги.
angehen|касаться кого-л.; браться (за проблему)|«das geht dich nichts an» = тебя это не касается|Нам нужно взяться за эту проблему.
aufgehen|восходить (о солнце); открываться; сходиться (о расчёте)|«mir geht ein Licht auf» = до меня дошло|Расчёты не сходятся.
eingehen|заключать (договор); вникать (auf +A); погибать (о растении)|«darauf gehe ich nicht ein» = я не буду это обсуждать|Он не отвечает на мой вопрос.
übergehen|обходить, пропускать, игнорировать кого-л.|говорят, когда человека обошли с повышением|Его обошли с повышением.
umgehen|обходить (правило)|umgéhen, ударение на корень: слово из мира налогов и лазеек|Он обходит правила.
umgehen|обращаться, обходиться (mit +D)|úmgehen, ударение на приставку: «mit Menschen umgehen können» = уметь обращаться с людьми|Она умеет ладить с детьми.
vergehen|проходить (о времени); угасать|«mir ist der Appetit vergangen» = у меня пропал аппетит|Время идёт быстро.
begehen|совершать (преступление, ошибку); отмечать (дату)|почти только в «einen Fehler begehen» = совершить ошибку, и в криминальных сводках|Он совершил ошибку.
entgehen|ускользать, оставаться незамеченным; упускать|«sich etwas entgehen lassen» = упустить возможность|Это ускользнуло от моего внимания.
zugehen|подходить (auf +A); закрываться; происходить|«es geht dort laut zu» = там шумно|На вечеринке было бурно.
losgehen|отправляться; начинаться|«jetzt geht's los!» = ну, поехали!|Когда начинается фильм?
untergehen|тонуть; заходить (о солнце); тонуть в шуме|«die Welt geht nicht unter» = это не конец света|Солнце садится.
durchgehen|просматривать, разбирать; понести (о лошади)|«jemandem etwas durchgehen lassen» = спустить кому-то с рук|Давай ещё раз пройдёмся по списку.

=stehen|стоять
stehen|стоять; находиться; идти (об одежде)|«das steht dir gut» = тебе идёт|Книга стоит на полке.
verstehen|понимать|«verstehst du?» — вопрос-переспрос; «sich verstehen» = ладить|Я не понимаю ни слова.
bestehen|сдать (экзамен); существовать; состоять (aus +D); настаивать (auf +D)|четыре совсем разных значения, и все ходовые|Она сдала экзамен.
entstehen|возникать, появляться|слово о том, как появляются расходы, проблемы и здания|Это влечёт большие расходы.
aufstehen|вставать, подниматься|«früh aufstehen» — слово жаворонков|Я встаю в шесть.
ausstehen|оставаться нерешённым; терпеть, выносить|«ich kann ihn nicht ausstehen» = терпеть его не могу|Ответа всё ещё нет.
anstehen|стоять в очереди; предстоять|«was steht heute an?» = что сегодня по плану?|Мы простояли в очереди час.
gestehen|признаваться, сознаваться|«ich muss gestehen…» = должен признаться… — смягчает признание|Он сознался в краже.
widerstehen|сопротивляться, устоять (+D)|почти всегда про соблазн или шоколад|Я не смог устоять перед соблазном.
überstehen|пережить, выдержать|«das haben wir überstanden!» = пережили! — после любой неприятности|Зиму мы пережили хорошо.
